reference,prediction,wer,cer
proqram teminati muhendisliyi dinamik sekilde deyisen pese sahesidir,program teminati muhendisliyi dinamik sekilde deyisen pese sahesidir,0.125,0.014705882352941176
gol baliqciliq ucun elverişlidir,qov balasiliq ucun elverişlidir,0.5,0.15625
estetik menada konkret tebiet gozellikleri umumen yene gozel bir qadinla birlikde teqdim edilir,estetik menada konkret tebiyyet guzellikleri umumen yene guzel bir qadinla birlikde teqdim edilir,0.23076923076923078,0.042105263157894736
hesabi ile qalib gelerek dunya cempionu adini qazanir,hesabi ile qalib kelerek dunya cekbenini adini qazanir,0.25,0.1320754716981132
yalniz muharibenin sonunda rusiya abxaziyada bezi humanitar emeliyyatlar heyata kecirmişdi,yalniz muharibenin sonunda rusya abxaziyada bezi humanitar emeliyyatlar heyata kecirmişdi,0.1,0.011111111111111112
keşfiyyatci atici idi,cek fiyat catici idi,1.0,0.3333333333333333
kend teserrufati xammali emal olunur,send teselfati qanmaliyi mal olunur,0.8,0.25
butun işler barişiq hakimi terefinden tekbaşina hell edilirdi,butun muşler qarişiq hakimek terefinden tek başina hele edilirdi,0.75,0.11475409836065574
parkin erazisinde sahesi uc hektar olan suni gol ve selale yaradilib,harkin erazisinde sahesi 3 hektar olan suyunu gol ve selele yaradilib,0.36363636363636365,0.10294117647058823
doyuşler quldarliq terefdari terefinden idare olunan merilend ştatinin erazilerinde gedirdi,doyuşler buldarliq terefdari terefinden idare olunan maryland şatinin erazilerinde gedirdir,0.4,0.06593406593406594
behreynin gormeli yerlerinden sayilir,behrenin curmeli yerlerinden sayilir,0.5,0.08108108108108109
şaxtali aylarda sahil eraziler donur,şaxtali aylarda sahil eraziler donur,0.0,0.0
proqramlaşdirma dillerinin ekseriyyeti deyisen konsepsiyasini destekleyir,proqamlaşdirma dillerinin etseriyyeti deyisen konsepsiyasini destecleyir,0.5,0.0410958904109589
onlarin ustun medeniyyet ve texnologiyaya sahib olmasinin tanrilar kimi gorunmesine sebeb olduğu qeyd olunur,onlarin ustun medeniyyet ve texnolojiye sahib olmasinin tanrilar cimi gorunmesine sebib olduğu qeyd olunur,0.21428571428571427,0.05555555555555555
